有效的	effective	valid	active
手的	manual
[生物学]亲和的	compatible
半个的	half
理解力强的	intelligent
完好无损	intact
（时间上）紧接着的	adjacent
红宝石的	ruby
仔细的	careful	minute	narrow
应急的	emergency	jury
真空的	vacuum
西方的	western
有节制的	moderate	sober
[地质学]原生的	primary
占优势的	dominant	predominant
顽固的	contrary	resistant	rigid	set	stiff	stubborn
（风、光线）来自东北方向的	northeast
当今的	now
无论哪些	whichever
朝气蓬勃的	vigorous
筋疲力尽的	shot
荒唐的	absurd	ridiculous
用图表示的	graphic
有同情心的	feeling	sympathetic
国家的	national	state
四散的	diffuse
多心	suspicious
牢固的	secure	tight	tough
实体的	objective
严寒的	bitter
骇人的	scare
奸诈的	cunning	shrewd
财政的	financial	monetary
下贱的	low	mean
产生紫外线的	ultraviolet
阴历的	lunar
礼仪上的	formal
古代的	ancient	antique
紫罗兰色的	violet
额外的	more	additional	excess	extra
badly的比较级)	worse
不屈不挠的	tough
有系统的	scientific	systematic
户内的	indoor
粗野的	bush	coarse	robust	vulgar
可会见的	available
成问题的	problem
末了的	latter
闪耀的	brilliant	flash
可能的	feasible	likely	possible	probable	prospective
首次的	maiden	opening
古命运的	weird
全部的	entire	overall	total	whole	all
需付费的	pay
第一位的	banner
被免除的	exempt
混乱的	complicated	turbulent	upset	disrupt
〈口〉抱好感的	sympathetic
经过特殊加工（或处理）的	process
慢的	slow
精通学理的	scientific
圣洁的	holy
超等的	super
（计算机）虚拟的	virtual
票面上的	nominal
雄辩的	eloquent
简约	concise
选出而尚未上任的	designate
能够的	able
热门的	hot
有弹性的	spring
小山羊皮制的	kid
维持生命所必需的	vital
不可靠的	dubious	slippery
原来的	late
外表庄严和庄重的	noble
经验主义的	empirical
倒数的	reciprocal
不景气的	flat
忽然的	unexpected
塑料[塑胶]制的	plastic
桌子的	table
理智的	rational
崭新的	new
深思熟虑的	deliberate	thoughtful
丰足	abundant
较粗硬的	horse
朝西的	west
股票行情下跌的	bear
背面的	wrong
有咸味的	salt
羞怯的	modest	timid
激进的	militant	radical
弹性的	stretch
被传授初步知识的	initiate
过度的	extravagant	excessive
极坏的	disastrous	rotten
（光、颜色等）鲜艳的	vivid
元音的	vowel
共和政体的	republican
戒备的	jealous
奇怪的	peculiar	strange	weird	bizarre
（石料	dimension
中意的	favorite
逻辑的	logic
最早的	first	premier	primary
预备的	preliminary	reserve	spare
金刚石的	diamond
阴柔的	feminine
蠢的	silly
（语言使用上）不分男女的	inclusive
积极的	positive	active
领头的	lead
幼小的	chicken	little	infant
深红棕色的	bronze
流行性的	epidemic
初步的	preliminary	initiative
经久的	permanent
高声的	loud	loud
凭经验的	empirical
（脉搏等）急促的	frequent
低级的	base	small
大城市的	metropolitan
枯燥的	bald	dry	rigorous
乳白色的	ice-cream
不吉的	evil
错误的	erroneous	faulty	wrong
骚乱的	turbulent
[医]勃起的	erect
有两种或多种意思的	ambiguous
表面的	apparent	shallow	surface	exterior
含泪的	moist
性质等）一样的	uniform
有酸味的	sour
南方吹来的	south
难解的	difficult	abstract
受范的	plastic
新式的	modern	up-to-date
劣质的	cheap	terrible
黑种人的	black
正在考虑的	instant
动词的	verbal
某个	some
拘谨的	stiff
很好的	class
令人瞩目的	noticeable
不受任何限制[约束]的	absolute
盲目轻信的	fond
井的	well
蘑菇形的	mushroom
[生]倒卷的	reverse
数一次的	linear
相似物的	analogue
妒忌的	jealous
奇数的	odd
貌似有理的	plausible
能结果实的	female
待在家里的	indoor
真的	real	so	authentic
合伙的	associate
有敌意的	ugly
使人兴奋的	exciting
（价格等）高价的	fancy
长期的	chronic	durable
一家的	household
发动的	motive
（物质）致密的	compact
数量（上）的	quantitative
整体的	global	integrate
晴朗的	fair	fine	pleasant
一方的	one
可信的	authentic
难以忍受的	impossible
富有感情的	feeling
无上的	supreme
首都的	capital
有教养的	polite
圆熟	skillful
神经紧张的	tense
备用的	auxiliary	spare
骑在马背上的	horse
快的	brisk	fast	frequent	quick	sudden
需要勇气的	brave
本土的	mainland
用于跳舞的	dance
构成或使用言语的	oral
东南部的	southeast
适于一人的	single
老是那一套的	usual
雄的	bull
令人失望的	chill
（文体等）臃肿的	clumsy
引人注意的	spectacular
快活的	jolly	merry	pat
出于礼节的	courtesy
（级别或地位）低下的	humble
所有的	whole
清静的	quiet
有恶臭的	foul
力大如牛的	bull
南方的	southern
星形的	star
有声音的	vocal
[数学]正交的	normal
吵吵闹闹的	noisy
咨询的	directory
高等的	high	advanced
惟一的	single	sole
有雄心的	ambitious
“late”的比较级	latter
服现役的	service
堂堂的	August
法律上的	technical
黄种人的	yellow
极讨厌的	horrible
干脆的	flat
迟钝的	blunt	opaque	stupid	dull	slow
赛狗）起点标志的	post
闹市区的	downtown
经验丰富的	veteran
拖欠的	back
自大的	arrogant
口极端的	fearful
果断的	decisive
有奇异魔力的	magic
被豁免的	exempt
闻	well-known
